factor	real_us_rate	real_btw_rate	real_ds_rate	permmean_us_rate	permmean_btw_rate	permmean_ds_rate	l2fc_us_rate	l2fc_btw_rate	l2fc_ds_rate	z_us_rate	z_btw_rate	z_ds_rate	ds_frac	btw_frac	us_frac
ATF3	0.00344793217466923	0.0022900821388797	0.00397067166135246	0.00337916077626243	0.00229709057013933	0.00316116090749158	0.0290664012412446	-0.00440839599089405	0.328928595660319	0.120931266155888	-0.0118777443611359	1.43018756915055	0.140776699029126	0.0752427184466019	0.128640776699029
SIN3AK20	0.0121352541656946	0.00520447297703076	0.0101981344042044	0.00972909226916952	0.00522733641806273	0.00836946642462785	0.318827213213116	-0.00632393184356468	0.285097701667267	1.61474268194443	-0.0194318286376128	1.28580234332359	0.196601941747573	0.116504854368932	0.174757281553398
MXI1	0.0113429442215708	0.00506505896656073	0.00858547904460831	0.00882073658293219	0.00511371998909583	0.00783136006790379	0.362824121413906	-0.0137941006532604	0.132635753322236	1.84820806173033	-0.0437840345686237	0.565382145496558	0.189320388349515	0.135922330097087	0.186893203883495
NR2C2	0.000838395086287611	0.000444713046056308	0.00098064486596037	0.000929275075267071	0.00045479322295077	0.000749730574410703	-0.148475451369521	-0.032336028171108	0.387358531361447	-0.414343347580181	-0.0504620356851546	1.15269542551445	0.0509708737864078	0.0194174757281553	0.029126213592233
E2F6	0.00618468061701188	0.00215351885306388	0.00588141690240472	0.00499326185461717	0.0021869511018878	0.00453080714882757	0.308716529053553	-0.0222250097159144	0.376395674430609	1.35811201472985	-0.0518450495263092	1.58180658103547	0.152912621359223	0.0703883495145631	0.152912621359223
STAT1	0.00416129745218701	0.00278475074078116	0.00379710378704938	0.00404859542423596	0.00282124362013981	0.00379905329275508	0.039611934991072	-0.0187830512712891	-0.000740517144653219	0.162196687258547	-0.0519558060837029	-0.00296279768032061	0.104368932038835	0.0606796116504854	0.101941747572816
CTCFL	0.000945836186953514	0.000698427540280739	0.00119685539697997	0.000919884291840801	0.000719090116607514	0.00104978216602438	0.0401379368559731	-0.0420621328023156	0.189158863673336	0.147552217458437	-0.107841317819482	0.706910575177425	0.104368932038835	0.0631067961165049	0.0728155339805825
CEBPD	0.00167788094517082	0.000851009183677348	0.00184071864184365	0.00172345013340163	0.000883580355579038	0.00143364564965214	-0.0386592038199065	-0.0541866431131938	0.360580643183697	-0.129171108110628	-0.10874720221645	1.26005064271611	0.087378640776699	0.0509708737864078	0.0679611650485437
HDAC1	0.00344275100484017	0.00099585314586968	0.00324274924973447	0.0032656123362371	0.00105394139597698	0.00250837060769587	0.0762083050742866	-0.0817897335484853	0.370466949886059	0.266584886372597	-0.122657482196027	1.26866586506811	0.0752427184466019	0.0218446601941748	0.0800970873786408
RAD21	0.0142937567857986	0.0114270619019926	0.0144444165912359	0.0123665791388909	0.0116020062332219	0.013082761213555	0.208938670439649	-0.0219197904930141	0.142844870312467	1.7167249317898	-0.129325514087776	1.1413055087649	0.361650485436893	0.283980582524272	0.330097087378641
BACH1	0.00261499095135959	0.00119961208424896	0.00250052179353107	0.00197731850947179	0.00124473860089384	0.00183683802065508	0.403260673033498	-0.0532748431777904	0.445004769306889	2.00938623269407	-0.141982797932384	2.08638824697466	0.106796116504854	0.0533980582524272	0.087378640776699
FAM48A	0.000327231778677877	0.00035837681367175	0.000163486223833349	0.000384648025813194	0.000390097425632471	0.000356256266213521	-0.233226043314937	-0.122357176956648	-1.12374631789285	-0.281696055287885	-0.149336017487473	-1.11691247141486	0.0121359223300971	0.0194174757281553	0.0169902912621359
EP300	0.021354464143646	0.0190580445549259	0.0204748784343687	0.0217818861034286	0.0194428196929937	0.0206977588621194	-0.0285911867896774	-0.0288373612818436	-0.0156196760702715	-0.194417594123837	-0.149984066060577	-0.106110956296387	0.313106796116505	0.281553398058252	0.271844660194175
NFYB	0.002805467115865	0.00130712512835048	0.00310555706023432	0.00255610463421873	0.00136298206672852	0.00235500479643953	0.13429410817537	-0.0603693262644093	0.399122077337516	0.636028923775013	-0.150937263355056	1.82362508864281	0.0898058252427185	0.0412621359223301	0.0922330097087379
BATF	0.00333926395483329	0.00266447731013224	0.00248294702446898	0.0030467756887745	0.00274667304896135	0.00284523044142987	0.13224684778366	-0.0438326413993556	-0.196492023421541	0.651218020527178	-0.152062932538606	-0.778215753734094	0.121359223300971	0.106796116504854	0.143203883495146
SAP30	0.00253740975049804	0.000600145414107123	0.00205175210910853	0.00274649561859167	0.000651863177634576	0.00203687605143622	-0.114235480315085	-0.119257077388437	0.0104982446397121	-0.36897841816928	-0.154009949903266	0.0297880308532997	0.0509708737864078	0.0169902912621359	0.0655339805825243
GTF2F1	0.00328895206886157	0.00162097633789938	0.00441862391465583	0.00341886615920128	0.00169999585803092	0.00284494289129201	-0.0558899622744013	-0.0686681999422839	0.635197450730641	-0.214493266972406	-0.154945566399223	2.86475166900742	0.118932038834951	0.0364077669902913	0.0849514563106796
MYC	0.0197068521380029	0.0129927884811176	0.0203925903683726	0.0183969716674305	0.0133523722081595	0.0175673509772565	0.0992290435313457	-0.0393849848955737	0.215148384981073	0.519231600507248	-0.156364214701931	1.12265897431363	0.29126213592233	0.235436893203884	0.283980582524272
